#{"t_start": 1617102642.3938434, "env_id": "rl_stocks-v0"}
r,l,t
-15.13875,8,42.382383
-0.001,1,42.412384
-0.001,2,42.436388
1.823818,3,42.509384
-0.001,4,42.568387
-0.001,2,42.598384
-0.001,1,42.622382
-0.001,2,42.665382
-0.001,4,42.733383
0.905618,5,42.794382
-0.001,2,42.815385
22.112711,7,42.869385
-0.001,2,42.921385
3.86738,7,42.976384
-0.001,2,43.036385
-0.001,1,43.057383
-1.186536,3,43.074381
-0.001,1,43.118387
-0.001,2,43.137388
-0.001,1,43.157385
-0.001,1,43.176386
-0.001,2,43.227384
-0.001,2,43.248385
-0.001,1,43.265381
-0.001,3,43.322386
-0.001,2,43.342384
-0.001,2,43.392383
-0.001,1,43.409385
4.396625,7,43.472383
4.36783,9,43.552387
-0.001,2,43.598385
2.354713,5,43.644382
-22.059824,7,43.693383
-0.293056,7,43.743384
-0.001,3,43.872899
16.988018,13,43.986899
-0.001,2,44.0069
4.303666,8,44.073899
-0.001,1,44.089901
-0.001,2,44.110913
-0.001,1,44.126899
-0.001,1,44.1749
-0.001,1,44.1949
-0.001,2,44.225902
-0.001,1,44.246903
-3.153521,5,44.335898
-0.001,1,44.3789
-2.297871,4,44.397901
-0.001,2,44.4469
-0.001,2,44.473901
-0.001,1,44.492901
4.321357,7,44.564901
-0.001,2,44.5869
-0.001,1,44.607901
-0.001,3,44.700904
-0.001,2,44.7309
5.736235,4,44.7919
-0.28877,3,44.842899
-0.001,3,44.864901
3.143572,4,44.9249
-0.001,1,44.9429
-1.993599,4,44.9979
-0.001,2,45.074903
-0.001,2,45.110902
-0.001,3,45.171902
-0.001,4,45.1949
-0.284527,3,45.304902
-0.001,2,45.330908
-0.001,2,45.413904
-0.001,1,45.431901
-0.001,1,45.4569
-0.001,1,45.481903
-0.001,1,45.542901
-0.001,1,45.5639
11.899533,11,45.680902
-0.001,1,45.72543
-0.001,1,45.754423
-4.258735,4,45.846418
-0.001,3,45.97442
-5.404868,3,46.005419
2.84476,4,46.063467
-0.001,1,46.090624
10.773029,4,46.145136
-0.001,3,46.204138
-0.001,1,46.237142
-0.001,3,46.357142
2.217525,6,46.444138
-0.001,3,46.475137
3.335501,5,46.56014
-0.557638,3,46.627138
-7.523052,11,46.71514
2.21752,5,46.781661
-0.001,1,46.805664
-2.796291,7,46.892661
-0.001,1,46.915663
-0.001,4,46.980661
-0.001,3,47.012661
-0.001,2,47.113663
-0.001,1,47.142661
-0.001,2,47.166663
1.673886,6,47.286668
-0.28493,3,47.325663
-0.001,2,47.414665
-0.001,5,47.514662
-1.407215,9,47.58966
-1.984726,5,47.670662
0.281885,3,47.749664
-0.001,2,47.77666
-0.001,1,47.884186
-0.001,2,47.908184
-0.001,2,47.933185
2.2557,4,47.996183
-0.001,3,48.075183
1.411429,3,48.106184
-1.121762,4,48.193183
1.405866,3,48.265185
-0.001,1,48.292186
0.561905,3,48.369184
-0.001,3,48.408184
-0.001,2,48.468185
-0.001,2,48.501191
-0.001,3,48.593184
1.383658,4,48.624186
3.047476,5,48.713184
-0.001,1,48.781183
-0.001,3,48.806184
-0.001,2,48.862185
-0.557174,3,48.914188
-0.001,1,48.942183
-0.833328,4,49.016701
27.981395,12,49.137701
-0.001,2,49.167701
-0.001,2,49.192698
27.099406,9,49.296701
2.187782,3,49.3547
-0.001,1,49.370699
-11.012134,7,49.415216
-0.001,3,49.458216
-0.001,1,49.478218
-0.001,1,49.500218
-0.001,3,49.553219
-0.001,1,49.583218
-0.001,2,49.64122
-0.001,3,49.662217
-11.183938,13,49.766218
-0.001,3,49.790218
-0.001,1,49.838218
-0.001,5,49.891218
-0.001,1,49.914218
-0.001,2,49.931218
4.368769,9,49.987216
-0.001,1,50.001219
-0.001,1,50.017216
-0.001,2,50.062217
-0.001,2,50.077218
-0.001,2,50.128221
-0.001,1,50.147219
-0.001,2,50.164216
-0.001,1,50.178225
-4.462673,6,50.238218
10.415537,8,50.288217
-0.001,1,50.306217
-0.001,2,50.349218
-0.001,1,50.368215
-0.001,1,50.386218
-0.001,2,50.428216
-0.001,4,50.447219
-3.125186,3,50.498218
-0.001,2,50.52222
-0.001,2,50.564218
-0.001,2,50.588218
-3.904201,3,50.630217
-0.001,1,50.645218
-3.380324,5,50.687218
-0.001,3,50.734218
-0.001,3,50.755217
1.553807,3,50.797217
-0.001,2,50.814216
-0.001,1,50.830218
-0.001,1,50.873216
-0.001,2,50.894221
1.046943,4,50.93822
-0.001,1,50.954216
-2.614422,7,51.007216
-6.728038,4,51.064219
-0.001,1,51.102218
0.259078,4,51.163219
-0.001,1,51.184218
-0.001,2,51.225217
-0.001,1,51.244218
-0.001,4,51.313219
-0.001,4,51.375218
2.064582,3,51.403219
-8.237808,4,51.448216
-2.84051,5,51.523219
-0.001,1,51.543216
-0.001,1,51.561224
-0.001,1,51.605217
-53.00761,6,51.654218
-1.114896,3,51.676219
-7.16035,5,51.725216
-0.001,2,51.765218
-0.001,1,51.787219
-0.001,1,51.805217
-0.001,2,51.847219
-0.001,3,51.865218
-0.001,1,51.879218
-0.001,4,51.928223
-1.671379,4,51.973217
-0.001,3,52.020217
-0.001,1,52.041218
-0.001,1,52.055217
36.546653,4,52.101219
-0.001,2,52.118216
-0.001,1,52.133216
-0.001,1,52.205218
-0.001,2,52.233217
-4.405075,5,52.308218
-5.803708,3,52.392216
-0.001,2,52.413218
-0.001,1,52.431218
-0.001,1,52.447216
-0.001,5,52.564218
-16.985301,6,52.684218
-34.00611,7,52.78622
-0.001,1,52.809219
-4.385763,4,52.906218
7.414545,5,52.98622
-21.734073,5,53.093218
-0.001,3,53.175216
-0.001,1,53.190217
5.026933,4,53.263217
-0.001,1,53.279223
-0.001,3,53.298217
-0.001,1,53.353219
-1.96697,8,53.421219
-0.001,1,53.44222
-3.053164,3,53.494216
-0.001,1,53.51422
-0.001,2,53.565218
-0.001,1,53.581217
4.469834,6,53.630218
-0.001,1,53.645218
-0.001,1,53.666219
-0.001,6,53.745217
-0.001,1,53.768219
-0.001,1,53.789217
-0.001,1,53.811218
-0.001,2,53.857218
-3.867335,5,53.901217
-0.001,2,53.921218
-0.001,1,53.935218
-1.657086,3,53.977217
-0.001,1,53.995217
-0.001,2,54.012216
-0.817327,3,54.051219
2.962862,6,54.123218
-0.001,1,54.143217
-2.958642,4,54.20922
-0.001,1,54.229221
-2.414547,8,54.288216
-1.344345,4,54.350233
-0.001,2,54.368217
-3.990362,4,54.421219
1.058322,3,54.46922
-1.063982,3,54.490222
-0.001,1,54.513219
-0.001,3,54.578219
9.606272,9,54.668216
1.316246,4,54.717218
-0.001,1,54.736217
-0.001,2,54.752217
3.128074,5,54.804219
5.220932,5,54.861218
-0.001,2,54.909217
-0.001,1,54.932218
42.785329,6,55.014218
-0.001,1,55.036219
-2.138323,3,55.086219
-0.001,1,55.103215
-13.436535,9,55.177215
-0.001,1,55.194216
0.536057,4,55.244217
53.346559,3,55.263219
-0.001,1,55.307217
-0.001,1,55.328217
-16.519424,7,55.374216
-0.001,2,55.415219
1.505809,10,55.513219
1.517603,6,55.577218
-0.001,1,55.597218
-1.239481,4,55.644221
-0.001,4,55.689218
-0.001,2,55.707218
-0.001,1,55.726217
-0.001,1,55.743218
-0.001,1,55.79423
-10.307687,3,55.82122
-0.001,2,55.862218
-0.001,8,55.913217
-1.760231,8,56.002217
-0.001,2,56.026217
-0.001,2,56.075218
-0.001,3,56.093217
-0.001,2,56.137219
-0.001,1,56.161218
-0.001,2,56.181217
-18.653077,5,56.222218
2.010567,3,56.263218
-1.327496,4,56.345217
-0.001,1,56.394218
28.339081,6,56.443218
17.820867,9,56.523218
-0.001,1,56.550219
-0.001,1,56.573219
2.502129,8,56.658218
-1.510054,4,56.705216
-0.001,1,56.723218
-0.001,1,56.742219
-0.001,1,56.764217
-0.001,1,56.787219
-0.001,1,56.84822
-0.001,4,56.875218
-0.001,1,56.931218
-0.001,1,56.945215
-0.001,1,56.959218
-0.496295,4,57.001219
-0.001,1,57.025217
-0.001,1,57.04822
-0.001,1,57.070219
-13.016946,11,57.182218
-0.001,2,57.204219
-0.001,1,57.221218
2.681868,5,57.268217
-14.384945,10,57.352218
-0.001,1,57.373217
8.140269,12,57.494218
-0.001,2,57.516218
-0.001,2,57.563218
0.499375,3,57.591218
-0.001,2,57.640217
-0.001,1,57.66022
-0.001,3,57.680217
-0.001,1,57.719218
-0.001,2,57.740218
-0.001,1,57.757216
-0.001,4,57.800218
-0.001,1,57.817217
-0.001,2,57.856218
-0.001,1,57.881218
-1.011356,4,57.931216
-0.001,3,57.950218
-0.001,2,57.990218
-0.001,2,58.010219
-0.001,1,58.030217
-0.001,1,58.049216
-0.001,1,58.093216
-0.001,1,58.108218
-0.001,2,58.126218
1.749125,4,58.172218
14.535995,7,58.223217
1.003773,3,58.263219
-0.001,2,58.279218
-0.001,2,58.32322
1.811532,3,58.343217
-2.823684,3,58.387218
0.259416,4,58.435217
-0.001,3,58.455217
-0.001,1,58.499217
-0.001,2,58.517217
-0.001,2,58.539217
-0.001,1,58.592218
-14.875812,6,58.645219
-8.498067,4,58.693218
-6.356634,12,58.755217
4.193064,7,58.800232
-0.001,3,58.84122
-0.001,2,58.860219
-0.001,2,58.898218
-0.001,1,58.916217
2.850682,7,58.996217
4.144078,5,59.047218
-5.958006,3,59.088219
-0.001,2,59.10622
19.023668,6,59.171217
-0.001,3,59.190218
-0.001,2,59.229219
-0.001,2,59.251224
-0.001,3,59.292215
-4.636591,4,59.312216
-0.513689,3,59.366218
-0.001,2,59.387217
-0.001,2,59.440218
-0.001,1,59.458215
-0.001,1,59.47422
5.899346,6,59.523216
0.510378,3,59.570218
-0.001,1,59.592218
-0.001,3,59.641217
-0.001,1,59.659219
-0.001,1,59.676218
-0.001,4,59.723217
-0.001,1,59.738218
14.514604,10,59.812217
-5.013214,7,59.869217
0.498127,5,59.921221
2.497751,3,59.945219
-0.001,1,59.960217
-0.001,1,60.012218
-0.001,2,60.031217
-0.001,2,60.045215
-0.001,3,60.098216
12.733867,8,60.157216
-0.001,3,60.174216
2.546446,8,60.246217
-0.001,2,60.263218
-0.001,4,60.305218
-0.001,1,60.326216
-0.001,1,60.342217
1.523132,5,60.387216
-0.001,1,60.430218
-0.001,3,60.450218
3.186837,3,60.493216
1.442696,5,60.539216
-12.935443,8,60.591221
24.596919,5,60.641217
-0.001,1,60.677217
-0.001,3,60.696217
-0.001,2,60.738216
-0.001,1,60.755218
-4.773131,4,60.79822
5.347837,3,60.815218
-0.001,1,60.830219
-0.001,1,60.876217
-0.001,1,60.892215
-0.001,1,60.907216
-0.916751,5,60.955216
-0.001,1,60.969217
-0.001,1,60.984218
0.686285,3,61.026218
-0.001,1,61.047216
-0.001,1,61.063217
-4.353334,4,61.107217
-0.002296,4,61.152218
-0.001,1,61.173217
-0.001,6,61.215216
-0.001,2,61.257219
-0.001,1,61.274218
-0.001,2,61.295218
-0.001,2,61.341217
-1.853816,10,61.414217
6.49552,4,61.458217
-0.001,4,61.486218
-0.001,1,61.548219
-3.779932,3,61.584219
-0.001,2,61.647219
-0.001,1,61.670218
-1.165415,3,61.694218
-0.001,3,61.761219
2.578132,6,61.826227
-0.001,2,61.886218
16.018792,7,61.952219
-1.850284,4,62.009221
-0.001,2,62.039219
-15.826878,9,62.108217
-0.001,1,62.124218
0.228832,3,62.166217
-0.001,1,62.180218
-0.001,1,62.198218
-0.001,1,62.216215
-0.001,1,62.259217
-1.852209,4,62.277218
-0.001,1,62.324219
-0.001,1,62.341219
-0.001,1,62.358219
-7.408407,3,62.411217
-2.589293,6,62.457218
-0.001,2,62.474217
-0.001,3,62.522217
-0.001,2,62.541219
-0.001,1,62.561218
-24.118044,7,62.668218
6.319225,3,62.686216
-0.001,1,62.726215
4.480729,9,62.775218
-0.001,1,62.818218
-0.001,1,62.835228
-0.001,2,62.852216
-0.001,1,62.867216
-0.001,3,62.911216
-5.669846,4,62.954218
-0.001,2,62.973216
-0.001,2,63.015216
-0.001,2,63.032216
12.105885,5,63.078217
4.168562,4,63.124219
-0.001,1,63.139217
-0.001,1,63.157218
-0.001,4,63.200218
-0.001,1,63.216216
-0.001,1,63.237219
-0.001,3,63.279218
1.62313,5,63.325219
-0.001,1,63.344216
-0.001,1,63.361217
4.865456,7,63.417217
-0.001,2,63.435217
-0.001,1,63.451216
1.589577,5,63.494218
-0.001,2,63.537217
-0.001,1,63.554218
1.376089,5,63.612218
-0.001,2,63.627218
-0.001,1,63.668216
-0.001,1,63.684216
-1.153509,4,63.730219
-0.001,3,63.748218
-0.001,1,63.766217
-0.001,3,63.810218
-0.001,2,63.831219
-0.001,2,63.866216
-0.001,6,63.912218
-0.001,2,63.927218
-0.001,2,63.97022
-4.441206,8,64.022218
-0.001,1,64.061218
-0.001,3,64.077218
-2.830521,4,64.117218
-0.001,4,64.158217
-0.001,2,64.176218
-0.001,1,64.197215
-0.001,2,64.239217
-0.001,1,64.254216
-0.001,1,64.272216
-0.001,2,64.317217
-0.001,1,64.334217
-0.001,1,64.349219
-0.001,3,64.392215
-0.001,4,64.418216
-0.001,1,64.466218
-0.001,1,64.486217
-0.001,1,64.502217
-0.001,1,64.521218
-0.001,1,64.541217
-0.001,2,64.584219
3.658658,7,64.638218
-0.001,1,64.654217
-0.001,2,64.727217
-0.001,4,64.770218
-0.001,1,64.785218
-0.001,3,64.809217
-1.615764,3,64.854218
-4.135325,8,64.915217
-0.001,1,64.93422
-0.001,1,64.959218
-0.001,1,64.990219
18.66456,8,65.056228
-0.001,2,65.073218
2.950192,4,65.115216
-0.001,2,65.132216
-0.001,4,65.176217
-0.001,1,65.193219
-0.001,1,65.234216
-0.001,2,65.251218
-0.001,4,65.295217
0.223165,5,65.341218
-0.452212,4,65.380223
-0.001,4,65.401218
-6.920275,10,65.465216
-0.001,2,65.51622
-0.001,3,65.536216
-18.317429,8,65.604218
-0.001,1,65.626217
-0.001,1,65.643218
-13.527119,5,65.683218
-10.682225,5,65.732216
-0.001,1,65.776216
-0.001,2,65.792216
-0.001,1,65.811218
-0.001,1,65.828217
-0.001,2,65.870218
-0.001,2,65.886216
-0.001,1,65.902216
12.458515,10,65.964217
-0.001,2,66.015216
-0.001,2,66.032219
-0.001,3,66.073215
10.527893,3,66.091218
58.951873,8,66.153223
-0.001,2,66.171216
-0.001,2,66.210221
-0.001,1,66.225216
-0.001,7,66.272216
49.639395,8,66.334217
-19.505481,3,66.375218
-0.001,2,66.394217
-3.706534,3,66.438225
-0.001,1,66.457219
1.228105,3,66.475219
-0.001,2,66.518218
-0.001,3,66.538219
-0.001,1,66.579218
-0.001,2,66.598217
-0.001,1,66.622217
-17.598339,9,66.684218
-15.261116,6,66.729217
4.847703,5,66.775216
-0.001,1,66.791219
-0.001,2,66.838218
-0.001,1,66.855218
-6.47687,11,66.914218
-0.001,1,66.931218
-0.001,1,66.971217
-9.957488,6,67.016218
16.224181,5,67.084217
-0.001,2,67.101219
-0.001,2,67.141219
-0.001,2,67.161217
-0.001,1,67.177216
-5.353364,5,67.223218
-0.001,2,67.270218
2.445075,3,67.291217
-0.001,2,67.336218
-0.001,1,67.354218
-0.001,2,67.381222
-0.001,1,67.403216
-0.001,1,67.440217
-0.001,1,67.456218
11.522392,4,67.506217
-16.019307,5,67.564219
-3.384153,6,67.61122
-0.001,1,67.634217
-0.001,1,67.654221
5.18502,3,67.693217
-0.001,1,67.71022
5.937324,4,67.755217
2.281584,4,67.797219
5.241763,3,67.818216
-0.001,1,67.839216
-0.001,2,67.885215
2.738118,8,67.935218
-1.54285,3,67.983217
-0.001,1,68.001219
-0.001,2,68.045217
-3.747149,9,68.099217
-5.833212,4,68.146216
3.804283,4,68.188217
-0.001,4,68.237217
-0.001,2,68.256216
-0.001,1,68.272216
-0.001,1,68.311219
-0.001,1,68.333217
-0.001,1,68.348216
-0.001,5,68.390218
-0.001,1,68.407216
-0.001,2,68.450217
3.455255,10,68.513218
-0.001,1,68.52723
25.362154,5,68.572218
-0.001,3,68.592216
-0.001,1,68.642217
-0.001,4,68.663219
-0.001,2,68.702218
20.725717,5,68.749217
-0.001,1,68.766217
-0.001,2,68.784216
17.523384,4,68.832218
-0.001,2,68.871218
-0.001,1,68.885216
-0.001,2,68.904223
-0.001,1,68.919221
-0.001,3,68.964231
-0.001,2,68.981218
-0.001,3,69.029219
-18.589829,9,69.087218
-0.001,2,69.105218
-0.001,2,69.147216
-0.001,2,69.165216
3.113518,3,69.210221
-0.001,1,69.227224
-0.001,2,69.24622
-2.359491,4,69.293216
11.101973,6,69.34222
1.439647,6,69.389216
0.428155,10,69.453218
-0.001,1,69.500217
-0.001,2,69.518216
-0.001,2,69.538217
-5.318609,5,69.579218
-0.001,1,69.624218
-0.001,1,69.645217
11.829202,3,69.667217
-0.001,4,69.707224
-0.001,2,69.752216
9.162803,6,69.793216
-0.001,1,69.812219
-0.001,1,69.831216
-0.001,4,69.874217
-0.001,1,69.890221
-0.001,1,69.908217
5.606916,9,69.976218
-0.001,2,70.021219
63.929013,6,70.073217
-21.67157,6,70.115217
-8.438743,8,70.177217
9.96041,4,70.196218
-0.001,2,70.238218
-0.001,1,70.255219
-0.001,1,70.270217
-0.001,1,70.287218
-0.001,3,70.333217
-0.001,2,70.353216
-0.243483,3,70.396218
1.950198,7,70.448218
-10.359741,8,70.517218
-0.001,1,70.537217
-0.001,1,70.559218
-0.001,1,70.609219
-0.001,3,70.631217
-0.001,2,70.687216
-0.001,2,70.713218
-0.001,2,70.735217
-0.001,4,70.787217
-0.001,4,70.846215
-0.001,1,70.864218
-0.001,2,70.914218
-0.001,1,70.928216
-35.956201,6,70.976219
-0.001,1,70.990218
-0.001,3,71.032219
-4.934505,4,71.068217
-0.001,1,71.084216
13.63709,7,71.129217
13.835817,8,71.184219
-0.001,2,71.20022
-0.001,1,71.217215
-0.001,4,71.261217
3.373753,6,71.314218
-0.001,1,71.356216
-0.001,1,71.375218
-0.001,3,71.392216
-0.001,1,71.432217
-0.637672,3,71.453218
-0.001,2,71.498218
-0.001,2,71.516218
-2.160361,3,71.558216
-9.412765,4,71.577218
-0.001,2,71.620218
-0.001,2,71.639217
-2.530894,4,71.688215
-0.001,2,71.706215
-0.001,1,71.744218
-11.131137,6,71.787216
-0.001,8,71.834218
-0.001,1,71.87122
-0.001,2,71.887216
-0.001,1,71.904217
-1.707849,3,71.945218
-0.001,3,71.965217
-5.35776,3,72.006217
-0.001,1,72.023219
-0.001,2,72.066217
-1.065056,4,72.083217
-4.670921,3,72.129217
-2.957081,3,72.172216
-0.001,1,72.187216
-0.001,1,72.204217
-0.001,2,72.226218
19.229061,8,72.286216
-0.001,1,72.305217
-0.001,2,72.347218
-0.001,2,72.368219
-7.036882,5,72.415219
1.491581,5,72.460217
-0.001,2,72.484218
-0.001,1,72.534217
-0.001,2,72.552217
-0.001,4,72.599216
-0.001,1,72.61722
-0.001,1,72.637216
0.827157,4,72.692216
-0.001,3,72.743217
-0.001,1,72.761219
-0.001,4,72.805218
-0.001,1,72.820218
-0.001,2,72.838215
-0.001385,5,72.934216
-0.001,1,72.956217
-3.150276,4,72.996216
2.294492,10,73.061218
18.955129,11,73.129217
-0.001,1,73.166216
-0.001,1,73.183218
9.236875,8,73.234217
27.789877,10,73.300231
19.948009,7,73.367215
-0.431756,4,73.413217
-0.001,2,73.431218
-0.001,2,73.451218
-0.001,1,73.49122
-0.001,2,73.508217
8.577912,5,73.585219
0.645691,3,73.650217
-0.001,3,73.667218
-0.001,3,73.717218
-0.001,2,73.734218
-0.001,1,73.752216
-0.001,2,73.794216
-0.001,2,73.814218
-0.001,1,73.831218
-0.001,2,73.876217
-0.001,1,73.892217
-0.001,2,73.911218
-0.001,3,73.949218
-0.001,2,73.970219
6.949478,4,74.026215
-9.294232,5,74.074217
-0.001,1,74.09222
-0.001,1,74.138217
-0.001,3,74.159218
-0.001,1,74.181218
-2.365066,3,74.223217
3.687172,13,74.359217
-0.001,1,74.375217
-0.001,2,74.393218
-0.001,1,74.412216
-25.332218,8,74.477218
-0.001,1,74.496218
-7.970758,9,74.565219
20.705856,10,74.627217
-0.001,2,74.648217
-0.001,1,74.687217
-0.001,2,74.711218
-0.838605,6,74.755218
5.434919,3,74.797216
-0.001,1,74.815217
-0.001,1,74.832216
-0.83975,4,74.874219
-0.001,2,74.892218
-0.001,1,74.935219
-0.001,1,74.952216
-2.092613,4,75.006217
-0.841336,5,75.057216
-0.836422,3,75.078217
-0.001,3,75.131218
-0.001,2,75.154218
-0.001,1,75.184217
-0.001,1,75.230218
4.5852,6,75.28022
4.614062,4,75.328216
-0.001,2,75.346217
-0.001,2,75.367229
-0.001,1,75.412216
0.206426,3,75.431219
-0.001,1,75.450217
-0.001,2,75.494217
0.205398,3,75.514218
-0.001,1,75.554215
2.872898,5,75.600217
3.701396,4,75.622217
-8.88897,3,75.666217
-0.001,1,75.684218
-0.001,2,75.736217
-3.375815,5,75.783218
1.26269,4,75.803218
-40.535374,9,75.864218
-0.001,3,75.91122
1.342605,6,75.959222
4.267529,4,76.001218
-0.001,4,76.04722
-3.094326,7,76.103217
-0.772903,3,76.148218
-0.001,2,76.168219
-0.001,1,76.186219
-0.001,2,76.233217
2.127071,3,76.255218
-0.386877,3,76.305218
-0.001,2,76.326216
-0.001,1,76.343217
-0.382898,3,76.386215
-0.001,1,76.405219
-0.001,1,76.423216
-0.385689,3,76.473216
1.350091,3,76.523217
-0.001,2,76.543216
1.337176,3,76.591218
-0.001,2,76.608218
-0.001,1,76.628217
-0.001,1,76.65222
-0.001,3,76.705217
-0.001,1,76.732219
3.860006,8,76.816216
-2.817868,5,76.877217
-0.001,2,76.895216
-9.289501,3,76.937215
-2.954119,3,76.957218
-0.001,2,77.002218
-0.001,2,77.021222
-0.001,1,77.041223
-0.001,2,77.084217
-0.001,2,77.103219
1.847087,3,77.149219
-0.001,2,77.170218
-8.587896,4,77.217216
-0.001,2,77.238217
-0.001,2,77.284217
5.562153,5,77.335219
-0.001,1,77.352217
-0.001,1,77.37022
-0.001,1,77.387216
-0.001,1,77.429219
-0.741604,4,77.448218
-0.001,1,77.49622
-0.001,1,77.520217
-0.001,1,77.543217
-0.001,1,77.565218
-0.001,1,77.596218
-8.623712,4,77.666218
4.74266,4,77.735219
-1.431492,5,77.804218
-0.001,3,77.86722
-42.710527,12,77.935218
-0.001,1,77.956219
-0.001,1,77.974216
-0.001,1,78.022218
-0.001,1,78.038218
-0.001,2,78.059217
-0.001,1,78.077219
-0.001,4,78.132215
-0.001,1,78.152217
-0.001,1,78.198215
-0.001,4,78.223217
5.732103,11,78.302217
-0.001,2,78.323217
-0.001,2,78.341218
20.422049,4,78.388217
-0.001,1,78.406226
-0.001,1,78.45122
-43.379323,7,78.506216
-0.001,2,78.529218
-7.235581,4,78.574218
1.49478,4,78.621218
-17.669219,8,78.685217
-0.001,1,78.702219
38.273778,7,78.765231
-0.001,1,78.780217
-0.001,3,78.825215
-5.486464,5,78.874217
-9.24374,5,78.923218
-0.001,4,78.983218
-0.001,1,79.014217
-0.001,2,79.033217
-4.545628,4,79.086218
-0.001,7,79.146217
-0.001,1,79.164216
-0.9091,3,79.185216
-0.001,1,79.226217
-0.001,1,79.244219
-0.001,1,79.261218
-0.001,3,79.337219
2.69927,4,79.372216
-0.001,1,79.425217
-0.001,3,79.449223
0.887415,3,79.506216
-4.076885,6,79.564216
-0.001,2,79.582216
0.179617,4,79.632219
-0.001,1,79.653218
-6.296438,4,79.705218
-11.153553,7,79.775218
-0.001,1,79.792219
-0.001,1,79.810218
-0.001,3,79.856217
-0.001,2,79.880218
-0.001,1,79.897216
-0.001,3,79.943217
24.742191,8,79.991217
-0.001,1,80.037217
-0.001,1,80.058217
-0.001,1,80.080218
-0.001,1,80.096217
-57.696701,12,80.170218
-0.001,2,80.191216
-0.001,2,80.207217
-0.001,1,80.250217
-6.285791,3,80.273218
-0.001,3,80.322217
-19.417758,5,80.371222
-5.088209,3,80.391219
-16.10347,4,80.440218
-2.191181,4,80.488216
-6.571542,3,80.54322
-9.158849,4,80.564217
-0.001,1,80.608216
-0.001,2,80.630219
-4.36305,3,80.677219
-0.001,1,80.69722
-0.001,1,80.715216
-0.001,2,80.738216
-0.001,3,80.813217
-0.001,1,80.829218
-0.001,2,80.878217
-0.001,1,80.896216
-0.001,1,80.920218
-0.001,2,80.937219
-66.46321,14,81.023216
-11.556015,4,81.071218
5.436589,4,81.127218
-0.001,1,81.146219
-0.001,2,81.170217
8.366894,9,81.235219
28.507772,5,81.290218
-0.001,1,81.306218
-0.001,1,81.348218
14.437214,4,81.37122
-0.001,1,81.419217
5.091418,6,81.47122
-1.092929,6,81.523226
-0.001,2,81.543216
8.091698,4,81.590216
-0.001,2,81.634223
-0.001,1,81.653217
-0.001,1,81.671217
-9.265621,4,81.715218
23.959912,4,81.770217
-13.590129,6,81.815217
-0.001,2,81.835217
-0.001,1,81.851218
-0.001,2,81.902219
-0.001,3,81.923217
-0.001,1,81.967218
-0.001,2,81.986217
-0.001,1,82.003217
-0.001,1,82.020217
-1.545883,5,82.068217
-0.001,1,82.115217
-0.001,1,82.133218
-8.815887,6,82.181219
-0.001,1,82.197216
-13.932984,7,82.261219
-0.001,1,82.287217
-0.001,2,82.305216
-0.001,1,82.325217
-0.001,4,82.369216
-0.001,2,82.42122
-0.001,1,82.441218
-0.001,4,82.490217
-0.001,2,82.511219
-0.001,2,82.530218
-0.001,2,82.577218
59.707807,14,82.663222
-0.001,1,82.683221
-22.360973,6,82.737217
-0.001,2,82.763217
-0.001,4,82.816218
-0.001,2,82.861221
-0.001,1,82.880216
-0.001,2,82.902216
-0.001,1,82.920218
32.62244,8,82.990218
-0.001,2,83.011217
-0.001,2,83.056218
-0.001,5,83.138218
43.364883,7,83.195231
-0.001,2,83.247216
-0.001,3,83.264217
-0.001,1,83.284218
-0.001,2,83.331217
-0.001,2,83.348217
-0.001,1,83.366218
-0.001,2,83.415218
-0.001,1,83.432217
-0.001,3,83.481218
-0.001,2,83.501232
-2.251225,4,83.544216
-0.001,2,83.562221
-0.001,2,83.607219
-0.001,1,83.624217
-0.001,5,83.673217
-0.001,2,83.699218
-0.001,4,83.769219
-13.870328,9,83.845217
-5.251597,3,83.868218
1.641421,3,83.916216
-0.001,2,83.934217
-0.001,2,83.981217
-0.001,1,83.997218
-0.001,1,84.016218
-0.001,2,84.063216
-0.001,2,84.083217
37.537833,7,84.131217
-0.001,1,84.173216
-0.001,2,84.19122
-0.001,2,84.217218
-0.001,5,84.282217
-52.997431,13,84.394219
-0.001,1,84.418216
-28.774828,6,84.481218
-0.001,1,84.538219
-0.001,1,84.559219
-0.001,1,84.584219
-13.871714,4,84.645219
-0.001,4,84.723217
-0.001,3,84.752219
-0.001,1,84.78122
-125.522587,8,84.874218
-0.001,2,84.902218
-20.603627,4,85.003221
-0.001,2,85.054219
-0.001,1,85.072219
-5.85938,3,85.092216
-0.001,3,85.143218
21.648485,4,85.197217
-0.001,2,85.219217
-0.001,1,85.237219
-0.001,1,85.283216
-0.001,4,85.31022
-0.001,3,85.361219
-0.001,2,85.380217
24.456199,7,85.442218
-3.240724,7,85.503218
-0.001,2,85.550218
-0.001,2,85.573217
-0.001,1,85.595217
-0.001,1,85.615218
-0.001,2,85.661218
-0.001,2,85.680218
-0.001,1,85.696217
-15.861428,4,85.743217
-0.001,1,85.758215
-0.001,1,85.807217
-0.001,2,85.826217
3.139539,3,85.870219
-0.001,1,85.888217
-0.001,1,85.907216
-0.001,3,85.954217
-0.001,1,85.972217
-2.129792,4,86.033215
-0.001,1,86.051219
-0.001,2,86.072217
-2.620859,3,86.120217
-15.119232,7,86.173217
-0.001,1,86.188216
0.777746,4,86.24322
-0.001,3,86.301217
-0.001,2,86.322218
