#{"t_start": 1617102642.3938434, "env_id": "rl_stocks-v0"}
r,l,t
40.06494,7,7.6729
-0.001,1,7.6879
13.22099,4,7.764902
-0.001,2,7.831899
-0.001,2,7.8449
-0.001,1,7.8599
-0.001,1,7.871899
-0.001,1,7.9069
-0.001,1,7.920901
-7.298589,5,7.957899
-32.185577,12,8.018899
-0.001,5,8.056899
-6.674234,6,8.105899
-0.001,2,8.1389
-0.001,1,8.152899
-8.951086,3,8.189908
-0.001,4,8.205899
-0.001,2,8.246899
-0.001,2,8.261899
-0.001,3,8.303898
-0.001,1,8.3189
-5.805029,3,8.356899
-0.001,1,8.3709
-10.243404,5,8.4139
-0.001,2,8.427897
-0.001,3,8.462898
-0.001,1,8.475898
-0.001,1,8.4889
-0.001,2,8.524899
-0.001,1,8.5369
-0.001,1,8.550899
10.29364,4,8.594898
-0.001,3,8.6129
-0.001,2,8.653898
-28.347457,3,8.6679
-0.001,1,8.702899
24.695049,3,8.724898
-1.178049,5,8.761899
-0.001,1,8.776899
113.633122,13,8.8629
-25.290017,6,8.9509
-0.001,3,9.000902
-0.001,2,9.0249
-2.461457,3,9.075901
-0.001,2,9.0939
-2.163421,5,9.1479
-0.001,1,9.167902
-21.166986,3,9.2129
11.60924,5,9.263899
-0.001,1,9.292899
8.204494,4,9.3409
20.25868,9,9.4149
25.701104,11,9.496899
-0.001,1,9.5159
27.955989,4,9.6169
-0.001,3,9.6879
-0.001,1,9.6999
-0.001,1,9.714898
-0.001,1,9.7279
-0.001,1,9.742901
-6.755355,4,9.783902
45.779077,7,9.835898
-0.001,2,9.8519
-0.001,1,9.8649
-0.001,2,9.927901
-2.056192,7,9.9709
-0.001,1,9.991902
-0.001,2,10.0299
-1.388444,3,10.044898
34.649035,8,10.094899
-0.001,1,10.111901
-0.001,2,10.1269
-0.001,1,10.1839
-0.001,3,10.1989
-0.001,1,10.213898
121.953816,15,10.323898
-0.001,2,10.395899
3.918072,4,10.443899
24.256036,9,10.528899
-0.001,3,10.601901
5.342819,10,10.664899
-9.538784,3,10.7099
7.993186,3,10.7279
10.217978,4,10.810901
-0.001,1,10.8269
-0.001,4,10.892899
10.75691,6,10.956899
-0.001,1,10.971898
-0.001,2,11.072901
2.186386,3,11.091899
92.370209,25,11.238899
-0.001,1,11.302899
-0.001,1,11.3179
-2.157433,4,11.354898
-0.001,1,11.367899
-2.863254,3,11.383898
-0.001,6,11.4349
-2.519379,5,11.481904
-0.001,4,11.498898
-0.001,2,11.538903
-0.001,2,11.5539
10.786487,6,11.596898
9.321338,4,11.633901
-0.001,2,11.6719
-0.001,1,11.684898
-0.001,1,11.697905
-0.001,1,11.711899
-0.001,1,11.724898
21.584032,9,11.7869
-0.001,2,11.826899
-0.001,3,11.843898
-0.001,2,11.8829
-35.515842,9,11.925899
-1.377229,6,11.9779
-0.001,1,11.992899
-0.001,1,12.005901
-2.773003,3,12.0429
-0.001,1,12.056899
5.507813,4,12.1009
-5.212953,5,12.1509
-0.001,1,12.1639
-0.001,1,12.178901
-0.001,2,12.1949
-0.001,2,12.232898
-2.324449,7,12.274899
-1.32814,5,12.3149
-0.001,3,12.351902
-0.001,3,12.365897
-0.001,1,12.4049
-0.001,2,12.4219
4.568084,5,12.466899
12.723307,6,12.526899
-0.001,1,12.5429
-0.001,2,12.584898
0.332528,5,12.631899
-0.001,1,12.647897
-0.001,2,12.667899
5.594325,9,12.722898
-0.001,2,12.7619
40.801427,7,12.8029
-0.001,2,12.817899
-0.001,2,12.852901
-4.100761,3,12.866899
-0.001,1,12.8979
7.630308,9,12.936897
-0.001,1,12.9729
-0.001,3,12.990899
-0.001,3,13.0259
0.333853,4,13.0659
-0.001,2,13.0829
-0.001,2,13.098898
-0.001,2,13.153899
-0.001,3,13.173902
-0.001,1,13.217901
-0.001,2,13.2339
-3.436246,3,13.275899
9.883117,3,13.294899
-0.001,1,13.3109
-0.001,3,13.360902
-0.001,1,13.3749
-4.027397,5,13.417901
-1.377715,7,13.478904
-10.530891,3,13.501899
-0.001,1,13.517898
-0.001,2,13.560901
-0.001,1,13.5759
-0.001,1,13.5959
-4.049583,7,13.654902
-0.001,1,13.6689
9.513101,5,13.714902
-0.001,2,13.732899
-0.001,1,13.7509
-3.039966,7,13.810901
-0.001,1,13.824899
-0.001,1,13.837901
-0.001,1,13.851902
5.997422,12,13.9239
-0.001,1,13.940907
-0.001,2,13.953899
-0.001,2,13.992899
-0.001,2,14.010901
-0.001,2,14.051901
-0.001,2,14.0679
-0.001,1,14.082899
-0.001,1,14.096898
-0.001,1,14.1349
29.440624,5,14.181899
-0.001,1,14.221901
-0.001,2,14.237902
-0.001,1,14.253899
-0.001,3,14.295899
-0.001,1,14.312899
-0.001,1,14.3309
-0.001,1,14.364901
-12.418649,5,14.410901
-0.001,3,14.425898
-0.001,1,14.4419
-0.001,4,14.4829
-0.001,1,14.499899
-0.001,1,14.5429
-13.020628,7,14.6009
-0.001,1,14.615901
-0.001,1,14.6309
-8.272946,7,14.685904
-0.001,2,14.698898
-20.889231,8,14.778899
-0.001,2,14.795898
38.32227,9,14.855909
5.604381,4,14.8949
-8.260107,4,14.9349
-0.001,1,14.9489
10.816421,4,14.994902
-2.212574,4,15.0129
-0.001,1,15.052901
0.736735,4,15.0699
-7.494443,5,15.1129
-8.794138,9,15.180901
-0.001,2,15.2259
-0.001,2,15.2419
7.463173,5,15.2849
-0.001,1,15.3009
-0.001,2,15.3379
93.232164,7,15.3849
-0.001,1,15.401901
-0.001,1,15.4149
-0.001,2,15.4549
-0.001,1,15.474903
-0.001,1,15.4919
-0.001,2,15.5329
-0.001,1,15.5529
-0.001,2,15.580901
13.809834,5,15.6359
-0.001,3,15.675899
-0.001,1,15.689903
-0.001,2,15.704899
-0.001,2,15.7429
-0.001,1,15.7599
-5.719954,4,15.802899
7.42168,4,15.8469
-0.001,1,15.862898
-0.001,1,15.876901
29.221249,6,15.917898
-3.222909,3,15.9589
-0.001,1,15.973902
-34.769489,8,16.033902
-0.001,2,16.0509
-0.001,1,16.064899
-0.001,3,16.102898
0.41532,3,16.122901
-0.001,2,16.165901
-0.001,1,16.182899
-0.001,2,16.197898
3.730343,5,16.2429
-0.001,3,16.283897
13.958391,4,16.366899
-25.548996,6,16.420901
36.974488,3,16.463898
50.693023,12,16.5279
-0.001,1,16.542898
6.015847,3,16.578899
-0.001,2,16.597908
-114.401,5,16.644899
12.173643,3,16.6839
-0.001,2,16.698899
-0.001,2,16.741901
-0.001,1,16.7609
-0.001,2,16.7789
-6.277151,5,16.824898
-0.001,2,16.861901
-0.001,1,16.876899
-0.001,1,16.891906
-6.225066,6,16.9409
-0.001,2,16.9829
-0.001,3,17.001901
-0.001,1,17.018899
-10.089272,5,17.057902
-0.001,1,17.096898
-0.001,3,17.115899
-0.001,2,17.152899
-0.001,1,17.1759
-0.001,2,17.195899
-10.408993,3,17.238906
-4.206214,3,17.258897
-0.001,2,17.296897
-0.001,2,17.316902
-0.001,2,17.358898
-0.001,1,17.373899
-3.369421,5,17.419899
-0.001,1,17.432898
6.272526,3,17.4739
0.837926,3,17.492902
-0.001,1,17.510901
-0.001,1,17.547901
-0.425268,3,17.568901
-2.146002,3,17.615899
-0.001,4,17.661901
-0.001,1,17.677902
-0.001,1,17.691899
7.631037,5,17.731899
-0.001,1,17.745901
-0.001,1,17.761901
2.487436,5,17.797899
-0.001,2,17.846899
-0.001,1,17.8649
-0.001,1,17.8809
5.298633,3,17.931901
-0.001,2,17.952904
-0.001,1,17.971902
-0.001,2,18.021901
-5.003935,9,18.094901
-0.001,1,18.1149
-0.001,2,18.140901
-0.001,1,18.160899
-0.001,3,18.2159
-5.888648,7,18.2749
-0.001,1,18.322903
-0.001,1,18.338901
-0.001,1,18.357901
-0.001,4,18.4039
-0.001,2,18.4229
-0.001,1,18.444901
-0.063181,4,18.491898
-0.001,1,18.5079
-0.001,1,18.546898
-0.001,2,18.563901
9.904076,4,18.6139
-4.085967,4,18.6609
20.007167,4,18.6809
-0.798766,5,18.7289
-0.001,2,18.7729
-0.001,4,18.825899
-5.140759,4,18.8489
0.787644,3,18.905901
-3.509772,3,18.955917
-0.001,1,18.967898
-0.001,1,18.983899
-0.001,4,19.031898
-0.001,1,19.045898
-0.001,2,19.063899
6.440982,8,19.1189
0.004047,5,19.1609
-0.001,2,19.175901
-0.001,1,19.224899
-6.74546,7,19.268898
-0.001,1,19.2839
-1.96286,7,19.3449
-0.001,1,19.361903
-0.001,2,19.379901
-0.001,1,19.417901
19.117221,3,19.462898
-1.903725,4,19.514899
-6.119547,4,19.5619
4.549626,5,19.6089
-0.001,2,19.623899
-1.131369,3,19.664899
0.376644,4,19.681898
-0.001,1,19.7179
-0.001,1,19.7319
-10.216664,4,19.776898
-0.001,1,19.798913
-0.001,1,19.815898
-7.13337,9,19.875899
-0.001,1,19.890899
2.252374,6,19.934897
9.045363,4,19.9769
-0.001,2,19.992897
-0.001,3,20.039907
-0.001,2,20.056899
-0.379212,4,20.102899
-0.001,5,20.1449
-0.001,3,20.182898
-0.001,2,20.2039
6.604505,4,20.252898
-1.466202,6,20.296899
-0.001,2,20.347898
-0.73146,4,20.365898
37.198125,5,20.4129
-0.001,1,20.449901
-12.237957,5,20.495899
-0.001,1,20.511901
1.454604,8,20.554909
-0.001,3,20.601901
-0.001,1,20.6179
-0.001,1,20.633904
-0.001,2,20.674898
-0.001,2,20.6919
5.544231,5,20.734899
-0.001,2,20.7779
-0.001,2,20.793898
-0.001,1,20.811898
-0.001,1,20.824909
-0.001,1,20.864897
-0.001,2,20.8819
1.099917,3,20.926898
1.095727,6,20.974898
1.432178,4,21.018901
-0.001,1,21.033898
-4.285184,3,21.0519
-0.001,1,21.095899
-0.001,3,21.112901
-0.001,1,21.127898
0.715843,4,21.176899
-0.001,1,21.191899
-0.001,1,21.235898
-0.001,1,21.253901
-0.742702,4,21.2949
1.490424,3,21.3169
-0.001,1,21.334898
-0.001,2,21.3799
-7.109407,7,21.426899
-0.001,3,21.467903
-0.001,2,21.484897
-22.557391,6,21.531899
17.731098,7,21.592905
-11.825584,12,21.657902
-0.001,1,21.6739
-0.001,1,21.7099
-0.267627,5,21.751899
-0.001,4,21.7739
-0.001,5,21.8139
-0.001,2,21.8529
-0.001,1,21.8659
-6.853248,7,21.906904
-0.001,4,21.9749
-0.001,1,21.989902
-2.582968,4,22.029901
-0.001,2,22.065898
-0.001,2,22.083902
-0.425448,6,22.1289
-0.001,2,22.165899
-0.001,2,22.1829
-0.001,3,22.230901
-0.001,2,22.246902
-5.640913,5,22.288901
-0.001,1,22.301898
12.004051,6,22.343902
-0.001,1,22.3819
-0.001,1,22.394898
0.856265,3,22.4119
-0.001,2,22.4499
-0.001,2,22.465901
-0.001,2,22.502898
-0.001,1,22.5169
-10.413103,9,22.574898
-0.001,2,22.589901
-0.001,2,22.609917
43.665197,10,22.664898
1.709864,6,22.722901
-0.001,2,22.735899
-3.379378,4,22.776899
-0.001,2,22.792899
-0.001,2,22.833899
-0.001,3,22.8509
-0.001,1,22.864898
-8.006325,7,22.917899
-0.001,2,22.934897
-2.071393,3,22.9779
18.624828,6,23.030899
12.683124,7,23.083899
-0.001,1,23.126901
-0.001,2,23.1449
-0.001,3,23.189899
-5.62349,3,23.208901
-0.001,2,23.306898
-0.001,1,23.347902
-0.001,3,23.3749
0.798361,4,23.4239
-0.001,1,23.444899
10.876298,15,23.543897
-0.001,1,23.584898
8.587303,8,23.631899
-0.001,1,23.645898
-0.001,3,23.680901
-0.001,1,23.6949
-26.332734,8,23.748899
-0.404388,3,23.764899
-0.001,1,23.8109
-1.212632,5,23.866899
8.031818,6,23.926898
-0.001,2,23.9479
-0.001,1,23.963898
-0.001,2,24.0129
-0.001,3,24.046898
1.635823,6,24.1099
-0.001,1,24.127905
-3.952617,6,24.178899
-0.001,3,24.247899
-0.001,1,24.267901
-1.636323,4,24.3269
-0.001,3,24.3509
-0.001,1,24.373901
-28.325042,6,24.446901
-22.987955,9,24.5119
-0.001,4,24.5609
-0.001,2,24.599898
-0.001,4,24.6249
-0.001,1,24.667899
-0.001,1,24.687901
-0.001,3,24.705899
-0.001,1,24.744902
-0.001,1,24.757901
-7.504126,5,24.801901
-0.001,1,24.8179
-3.395145,5,24.8649
3.002003,3,24.974904
-0.001,1,25.026901
-8.70575,6,25.092899
-0.001,1,25.145906
-0.001,1,25.2189
-0.001,1,25.342901
-0.001,2,25.368901
-0.001,2,25.5099
-0.001,1,25.5669
-0.001,1,25.5849
-0.001,1,25.611908
-0.001,1,25.633898
-0.001,3,25.699903
-0.001,2,25.727901
-0.001,3,25.793901
-0.001,1,25.815899
-0.001,2,25.840901
-0.001,1,25.911902
-6.243197,5,25.969899
-12.691355,10,26.042902
-0.001,1,26.0609
0.836521,4,26.113898
-0.001,1,26.132898
-0.001,2,26.151901
2.474508,7,26.206898
-0.001,5,26.2769
-0.001,4,26.299899
-0.001,1,26.348902
-0.001,2,26.3659
-0.001,2,26.3829
-0.001,4,26.429899
-0.001,2,26.468904
-0.001,1,26.484902
-0.001,1,26.501898
-0.001,1,26.516899
7.370007,4,26.562898
-0.001,2,26.578898
-0.001,2,26.625898
-0.001,1,26.641901
-0.001,1,26.657902
-0.001,2,26.696901
-0.001,1,26.714898
-0.001,2,26.731899
-0.001,5,26.7739
1.600922,3,26.822902
0.39819,9,26.884899
-0.001,1,26.9029
-0.001,1,26.920903
-0.001,1,26.937899
-0.001,1,26.9529
-0.001,1,26.986898
-0.001,2,27.0009
-0.001,2,27.021905
-0.001,2,27.0629
9.719549,7,27.1069
-0.001,3,27.1559
-0.001,1,27.173905
-0.001,2,27.189899
-0.001,3,27.237906
-0.001,1,27.2629
-1.652528,3,27.305899
-0.001,3,27.327899
-0.001,1,27.3659
-0.001,2,27.3829
1.028096,12,27.449898
-0.001,3,27.491898
-0.001,2,27.5079
-0.001,2,27.5449
-0.001,2,27.562901
-0.001,1,27.577898
8.354488,4,27.625903
-9.571623,5,27.667898
3.411825,5,27.715902
8.670926,11,27.7909
-0.001,1,27.839904
0.371301,4,27.862902
-7.396228,12,27.950902
-0.001,1,27.9679
-0.001,2,27.987898
-0.001,2,28.040899
-0.001,3,28.061899
4.059539,7,28.1329
-0.001,1,28.149901
-0.001,1,28.1679
-0.001,1,28.1869
-0.001,1,28.237903
-4.268028,13,28.3249
-0.001,1,28.343901
-0.001,2,28.3919
-11.035787,12,28.472901
-0.001,1,28.506901
-12.862041,5,28.566899
-0.001,1,28.606898
-6.952668,4,28.627898
-0.001,2,28.664899
-0.001,2,28.6809
-0.001,4,28.7229
-0.001,3,28.763898
-0.001,1,28.7799
-0.001,1,28.794899
-0.001,2,28.811901
-0.001,1,28.8499
-0.001,1,28.864899
-0.001,3,28.882899
-0.001,2,28.9349
-0.001,4,28.988899
-0.001,1,29.004899
14.502533,5,29.057899
-0.001,1,29.0729
-0.001,1,29.0869
-0.001,2,29.132898
-13.413817,6,29.176898
-0.001,1,29.191916
-0.001,1,29.205898
-0.001,1,29.218913
-0.001,2,29.265901
-0.001,4,29.3139
-7.901677,5,29.358898
3.388831,3,29.373898
-7.871502,4,29.4209
-2.610993,5,29.4699
6.658267,5,29.521901
-0.001,2,29.538909
14.165874,8,29.595898
1.489014,9,29.681901
-0.001,2,29.6969
-0.001,3,29.754901
-0.001,1,29.777901
-0.001,1,29.799899
-50.825402,9,29.907904
22.629075,5,29.978903
19.572493,5,30.048899
5.903588,7,30.140901
3.125192,7,30.2409
-0.001,1,30.260904
-0.001,1,30.281899
-0.001,2,30.392902
-0.001,2,30.420901
-0.001,3,30.4819
-0.001,3,30.522902
-0.001,1,30.543901
-0.001,1,30.605902
-0.001,1,30.642903
-2.126399,3,30.6749
-8.802442,4,30.800901
-5.238309,11,31.0139
3.193888,4,31.121902
-0.001,1,31.142899
-0.001,3,31.260901
-0.001,2,31.284901
-0.001,1,31.3779
-0.001,3,31.407901
-0.001,1,31.427899
-0.001,1,31.4749
1.755852,7,31.543901
-0.001,1,31.557897
-0.001,1,31.575899
1.422994,4,31.6369
3.898717,6,31.6819
-0.001,5,31.7339
-0.001,2,31.789901
-0.001,1,31.808902
-0.001,1,31.827899
-0.001,2,31.876899
-0.001,2,31.895899
-0.001,2,31.9149
-0.001,1,31.9719
-0.001,2,31.991901
-0.001,1,32.012899
-0.001,1,32.0309
-0.001,2,32.077898
-0.001,1,32.095898
-0.001,5,32.1409
-2.809003,4,32.184899
-0.001,1,32.203903
-0.001,2,32.223899
-15.434181,3,32.265897
-0.001,1,32.286901
-24.559083,8,32.356899
-0.688049,3,32.374913
-0.001,2,32.414897
-0.001,1,32.4299
-0.001,1,32.445899
-0.001,1,32.463899
8.863644,4,32.5079
-1.03016,3,32.5529
17.402666,8,32.5949
-0.001,3,32.633898
-0.001,1,32.647898
-0.001,2,32.683898
1.696083,8,32.730898
1.701997,3,32.7679
-6.152743,5,32.811898
13.000902,6,32.856899
-0.001,1,32.871902
-0.001,1,32.885909
-0.001,3,32.925899
-0.001,1,32.942898
-0.001,2,32.9769
-0.001,2,32.9929
-0.001,1,33.0069
-4.770679,4,33.046898
-0.001,2,33.0669
-0.001,2,33.113899
-0.001,1,33.140901
-0.001,2,33.162901
-0.001,1,33.211902
-0.001,2,33.239901
-0.001,2,33.272899
-0.001,1,33.324899
-1.385562,3,33.351901
-0.001,2,33.396899
-0.001,2,33.4229
-0.001,1,33.445901
-0.001,3,33.4979
-0.001,1,33.521902
-0.001,1,33.5449
-0.001,2,33.5959
-0.001,2,33.621902
-0.001,2,33.643898
-0.001,1,33.695938
-0.001,1,33.717938
-9.159154,4,33.779937
2.850447,4,33.809939
-0.001,1,33.858938
6.799949,7,33.916938
-0.001,1,33.938938
-3.622876,4,33.992937
-0.001,1,34.013938
8.953635,14,34.111936
0.726537,3,34.158938
-0.001,1,34.177943
21.974105,6,34.228936
-0.001,1,34.248936
76.510986,8,34.331937
-0.001,1,34.348938
-41.826433,11,34.421938
-7.707885,8,34.501941
-0.001,2,34.527942
-20.323212,7,34.598937
-9.167341,5,34.65594
-0.001,1,34.674939
-0.001,2,34.696938
-0.001,2,34.76394
-0.001,1,34.789938
-0.001,1,34.80694
9.452354,5,34.857939
2.490819,9,34.958936
-0.001,2,34.978938
-0.001,2,35.040939
-0.001,3,35.062938
-0.001,1,35.082936
-0.001,1,35.125937
-0.001,1,35.143938
-0.001,1,35.163938
-0.001,3,35.210938
-3.209556,3,35.233938
-0.001,1,35.257938
-0.001,1,35.312941
-0.001,2,35.343937
-0.001,2,35.363938
-0.001,2,35.409948
-0.001,5,35.457936
-0.001,2,35.475939
-0.001,1,35.489938
-1.811938,4,35.545939
-0.001,1,35.645938
-0.001,1,35.76694
-0.001,2,35.832938
-0.001,3,35.917938
1.823019,5,35.996937
-0.001,1,36.056938
-0.001,1,36.087938
-0.001,5,36.172948
-0.001,1,36.195939
-0.729594,5,36.355938
-0.001,2,36.43298
-1.457134,3,36.470982
-0.001,2,36.535984
-0.001,3,36.582981
-0.001,1,36.605982
-0.001,2,36.69498
-0.001,1,36.71598
-0.001,1,36.734979
-0.001,1,36.753981
-0.001,2,36.79498
-0.001,1,36.811981
-0.001,1,36.827978
-8.769853,4,36.885997
-2.832858,5,36.942981
27.09537,9,37.018981
-0.001,2,37.042981
-0.001,4,37.10398
-0.001,2,37.12498
-4.477584,3,37.173981
-0.001,1,37.192978
-3.438129,7,37.265499
-0.001,1,37.2845
-0.001,1,37.300499
-0.001,1,37.325499
-0.001,2,37.378501
-0.001,3,37.405499
-0.001,1,37.431502
2.393682,9,37.565499
-0.001,1,37.590497
6.163267,7,37.661502
-0.001,1,37.678499
-3.782133,4,37.721504
0.342761,4,37.764498
-0.001,2,37.781499
-0.001,2,37.8015
7.830944,10,37.872498
-0.001,1,37.921501
-0.001,2,37.939499
-0.001,1,37.957499
-0.001,1,37.978498
-0.001,3,38.077499
1.031702,3,38.221502
-0.001,2,38.2745
3.796031,6,38.363499
12.120781,5,38.442498
-0.689942,4,38.515498
3.084362,3,38.577499
-4.115518,6,38.658016
-0.001,3,38.689018
-10.17394,5,38.832018
-0.001,2,38.96602
-0.001,3,39.05402
-0.001,1,39.19507
0.334683,3,39.283072
-0.001,3,39.396136
-0.001,2,39.465136
-0.001,1,39.493138
-0.001,1,39.674188
-0.66878,3,39.70024
-0.001,1,39.756239
-0.001,1,39.857821
-0.001,1,39.89682
-0.001,1,39.918828
-2.017807,9,40.095344
-6.021067,4,40.173343
-1.001333,3,40.215344
-0.001,1,40.243867
-0.001,2,40.345385
-0.001,1,40.368385
-0.001,1,40.4184
-0.667223,3,40.527384
-0.001,1,40.582386
-0.001,2,40.621384
-0.001,1,40.696386
-0.001,1,40.741387
-0.001,3,40.782386
-0.001,2,40.902385
-0.001,2,40.973384
-2.001,3,41.053387
-0.001,2,41.082387
-0.333778,6,41.162385
-0.334444,4,41.245384
-0.001,1,41.268385
-0.001,1,41.336384
-5.60786,5,41.407384
-1.967568,4,41.445385
-0.001,2,41.541385
-0.001,1,41.577385
-0.001,2,41.607386
-0.001,1,41.692383
-0.001,2,41.717386
-0.001,1,41.745385
26.627792,7,41.842386
-0.001,1,41.865385
-3.962704,4,41.931384
-0.001,1,41.958384
-0.001,2,41.985389
-0.001,2,42.045383
-0.001,2,42.072385
-7.440554,3,42.163385
18.638329,9,42.228383
-0.001,2,42.273381
-0.001,1,42.291386
-0.001,1,42.311386
