Date,Time,Open,High,Low,Close,Volume
2012-01-03,22:00:00,127.77000,128.01000,127.48000,127.58000,23210437.00000
2012-01-04,16:30:00,127.58000,127.58000,126.86000,126.93000,29158052.00000
2012-01-04,17:30:00,126.93000,127.20000,126.71000,127.15000,15450140.00000
2012-01-04,18:30:00,127.15000,127.62000,127.10000,127.58000,12283349.00000
2012-01-04,19:30:00,127.58000,127.65000,127.35000,127.43000,9993572.00000
2012-01-04,20:30:00,127.44000,127.73000,127.42000,127.59000,11711412.00000
2012-01-04,21:30:00,127.60000,127.81000,127.52000,127.62000,16292738.00000
2012-01-04,22:00:00,127.62000,127.81000,127.58000,127.69000,16338644.00000
2012-01-05,16:30:00,127.69000,127.69000,126.43000,127.04000,41016503.00000
2012-01-05,17:30:00,127.05000,127.36000,126.67000,127.34000,21978149.00000
2012-01-05,18:30:00,127.34000,127.61000,127.31000,127.55000,17909907.00000
2012-01-05,19:30:00,127.55000,128.03000,127.44000,128.02000,14434705.00000
2012-01-05,20:30:00,128.01000,128.23000,127.82000,127.86000,16713172.00000
2012-01-05,21:30:00,127.86000,128.05000,127.78000,127.93000,20303389.00000
2012-01-05,22:00:00,127.94000,128.14000,127.82000,128.06000,13845662.00000
2012-01-06,16:30:00,128.20000,128.21000,127.29000,127.58000,35762327.00000
2012-01-06,17:30:00,127.58000,128.04000,127.58000,127.93000,19686842.00000
2012-01-06,18:30:00,127.93000,128.16000,127.89000,128.02000,12546049.00000
2012-01-06,19:30:00,128.02000,128.09000,127.72000,127.73000,11915047.00000
2012-01-06,20:30:00,127.73000,128.14000,127.64000,127.99000,12862709.00000
2012-01-06,21:30:00,127.99000,128.05000,127.73000,127.82000,10463826.00000
2012-01-06,22:00:00,127.83000,127.96000,127.65000,127.80000,19713828.00000
2012-01-09,16:30:00,128.00000,128.14000,127.58000,128.13000,22405052.00000
2012-01-09,17:30:00,128.12000,128.17000,127.41000,127.60000,16485448.00000
2012-01-09,18:30:00,127.60000,127.90000,127.52000,127.88000,11539656.00000
2012-01-09,19:30:00,127.88000,127.98000,127.81000,127.96000,7069841.00000
2012-01-09,20:30:00,127.95000,128.10000,127.83000,128.03000,7875812.00000
2012-01-09,21:30:00,128.04000,128.18000,127.94000,128.00000,8592459.00000
2012-01-09,22:00:00,128.00000,128.18000,127.96000,128.00000,12111489.00000
2012-01-10,16:30:00,128.00000,129.65000,128.00000,129.41000,28892716.00000
2012-01-10,17:30:00,129.41000,129.60000,129.20000,129.41000,15716349.00000
2012-01-10,18:30:00,129.41000,129.48000,128.96000,128.98000,11960383.00000
2012-01-10,19:30:00,128.98000,129.14000,128.95000,129.06000,9107093.00000
2012-01-10,20:30:00,129.06000,129.28000,129.03000,129.18000,9231463.00000
2012-01-10,21:30:00,129.18000,129.36000,129.11000,129.16000,11411598.00000
2012-01-10,22:00:00,129.16000,129.18000,128.97000,129.16000,17657050.00000
2012-01-11,16:30:00,129.16000,129.16000,128.52000,128.88000,24647397.00000
2012-01-11,17:30:00,128.88000,129.13000,128.66000,128.69000,18575318.00000
2012-01-11,18:30:00,128.70000,129.05000,128.69000,128.92000,11125918.00000
2012-01-11,19:30:00,128.92000,129.11000,128.84000,129.10000,6933027.00000
2012-01-11,20:30:00,129.11000,129.23000,128.85000,128.95000,13755242.00000
2012-01-11,21:30:00,128.95000,129.37000,128.93000,129.35000,16113249.00000
2012-01-11,22:00:00,129.35000,129.37000,129.16000,129.25000,12033746.00000
2012-01-12,16:30:00,129.25000,129.70000,128.69000,128.87000,31804866.00000
2012-01-12,17:30:00,128.87000,128.97000,128.54000,128.95000,16955913.00000
2012-01-12,18:30:00,128.95000,129.18000,128.86000,129.16000,9724526.00000
2012-01-12,19:30:00,129.16000,129.43000,129.12000,129.30000,10068911.00000
2012-01-12,20:30:00,129.30000,129.34000,129.11000,129.24000,9166500.00000
2012-01-12,21:30:00,129.24000,129.57000,129.21000,129.50000,13575828.00000
2012-01-12,22:00:00,129.50000,129.67000,129.42000,129.52000,12737782.00000
2012-01-13,16:30:00,129.52000,129.52000,127.72000,128.10000,52981398.00000
2012-01-13,17:30:00,128.10000,128.57000,127.97000,128.53000,33070306.00000
2012-01-13,18:30:00,128.53000,128.72000,128.26000,128.30000,14267814.00000
2012-01-13,19:30:00,128.31000,128.41000,128.04000,128.18000,15132608.00000
2012-01-13,20:30:00,128.17000,128.61000,128.09000,128.54000,14050763.00000
2012-01-13,21:30:00,128.55000,128.88000,128.47000,128.79000,17486423.00000
2012-01-13,22:00:00,128.79000,128.95000,128.77000,128.95000,15915623.00000
2012-01-17,16:30:00,130.08000,130.32000,129.75000,129.95000,29343970.00000
2012-01-17,17:30:00,129.94000,130.07000,129.71000,130.02000,18267034.00000
2012-01-17,18:30:00,130.01000,130.13000,129.93000,130.01000,10498990.00000
2012-01-17,19:30:00,130.01000,130.02000,129.71000,129.86000,8244998.00000
2012-01-17,20:30:00,129.87000,129.93000,129.73000,129.76000,7706412.00000
2012-01-17,21:30:00,129.76000,129.78000,129.06000,129.27000,20104027.00000
2012-01-17,22:00:00,129.28000,129.43000,129.19000,129.33000,18725487.00000
2012-01-18,16:30:00,129.31000,130.19000,129.08000,130.12000,31110993.00000
2012-01-18,17:30:00,130.12000,130.28000,129.99000,130.02000,19765750.00000
2012-01-18,18:30:00,130.02000,130.42000,129.88000,130.37000,15680876.00000
2012-01-18,19:30:00,130.38000,130.50000,130.31000,130.40000,11883551.00000
2012-01-18,20:30:00,130.40000,130.63000,130.26000,130.63000,15681390.00000
2012-01-18,21:30:00,130.63000,130.84000,130.43000,130.73000,25029091.00000
2012-01-18,22:00:00,130.73000,130.78000,130.61000,130.77000,17861125.00000
2012-01-19,16:30:00,130.77000,131.27000,130.77000,131.14000,26076757.00000
2012-01-19,17:30:00,131.14000,131.49000,131.10000,131.46000,15452118.00000
2012-01-19,18:30:00,131.46000,131.54000,131.36000,131.38000,12593123.00000
2012-01-19,19:30:00,131.38000,131.57000,131.27000,131.55000,11144812.00000
2012-01-19,20:30:00,131.55000,131.57000,131.36000,131.42000,11457788.00000
2012-01-19,21:30:00,131.43000,131.48000,131.19000,131.41000,15758191.00000
2012-01-19,22:00:00,131.42000,131.48000,131.28000,131.48000,14997645.00000
2012-01-20,16:30:00,131.48000,131.48000,131.00000,131.30000,30364284.00000
2012-01-20,17:30:00,131.31000,131.32000,130.96000,131.06000,13518114.00000
2012-01-20,18:30:00,131.06000,131.20000,130.92000,131.15000,10531548.00000
2012-01-20,19:30:00,131.14000,131.39000,131.14000,131.35000,9437449.00000
2012-01-20,20:30:00,131.35000,131.36000,131.11000,131.13000,7990220.00000
2012-01-20,21:30:00,131.13000,131.32000,131.02000,131.30000,11468617.00000
2012-01-20,22:00:00,131.31000,131.55000,131.20000,131.54000,19439761.00000
2012-01-23,16:30:00,131.54000,132.25000,131.47000,132.02000,33322511.00000
2012-01-23,17:30:00,132.02000,132.11000,131.58000,131.71000,17383930.00000
2012-01-23,18:30:00,131.70000,131.76000,130.98000,131.20000,20381271.00000
2012-01-23,19:30:00,131.20000,131.37000,131.14000,131.35000,9511603.00000
2012-01-23,20:30:00,131.36000,131.53000,131.29000,131.45000,10656538.00000
2012-01-23,21:30:00,131.46000,131.73000,131.25000,131.69000,15494092.00000
2012-01-23,22:00:00,131.69000,131.82000,131.59000,131.60000,13354443.00000
2012-01-24,16:30:00,130.80000,131.12000,130.60000,130.98000,27362170.00000
2012-01-24,17:30:00,130.98000,131.41000,130.89000,131.38000,15306856.00000
2012-01-24,18:30:00,131.38000,131.41000,131.18000,131.22000,9495862.00000
2012-01-24,19:30:00,131.21000,131.40000,131.13000,131.16000,7683059.00000
2012-01-24,20:30:00,131.17000,131.39000,131.10000,131.36000,8215282.00000
2012-01-24,21:30:00,131.36000,131.50000,131.26000,131.48000,13199595.00000
2012-01-24,22:00:00,131.47000,131.50000,131.29000,131.46000,11386836.00000
2012-01-25,16:30:00,131.46000,131.46000,130.75000,131.10000,26647912.00000
2012-01-25,17:30:00,131.09000,131.42000,130.92000,131.33000,13816676.00000
2012-01-25,18:30:00,131.34000,131.56000,131.04000,131.34000,16566971.00000
2012-01-25,19:30:00,131.34000,132.23000,131.10000,132.12000,36138058.00000
2012-01-25,20:30:00,132.11000,132.50000,131.88000,131.99000,27762168.00000
2012-01-25,21:30:00,131.99000,132.59000,131.97000,132.53000,21479688.00000
2012-01-25,22:00:00,132.53000,132.87000,132.51000,132.57000,26946404.00000
2012-01-26,16:30:00,132.57000,133.40000,132.57000,132.69000,32067185.00000
2012-01-26,17:30:00,132.68000,132.76000,132.23000,132.49000,28513689.00000
2012-01-26,18:30:00,132.49000,132.56000,132.06000,132.20000,18699459.00000
2012-01-26,19:30:00,132.19000,132.45000,132.17000,132.28000,10051177.00000
2012-01-26,20:30:00,132.27000,132.28000,131.65000,131.81000,21385088.00000
2012-01-26,21:30:00,131.82000,131.96000,131.36000,131.39000,24037696.00000
2012-01-26,22:00:00,131.39000,131.92000,131.39000,131.88000,23470314.00000
2012-01-27,16:30:00,131.88000,131.88000,131.18000,131.66000,29087767.00000
2012-01-27,17:30:00,131.66000,131.80000,131.28000,131.63000,17082057.00000
2012-01-27,18:30:00,131.63000,131.64000,131.16000,131.38000,19195554.00000
2012-01-27,19:30:00,131.38000,131.55000,131.18000,131.46000,13820866.00000
2012-01-27,20:30:00,131.46000,131.73000,131.42000,131.53000,10179135.00000
2012-01-27,21:30:00,131.53000,132.05000,131.49000,131.99000,15671842.00000
2012-01-27,22:00:00,131.99000,132.00000,131.68000,131.71000,14621670.00000
2012-01-30,16:30:00,130.51000,130.55000,130.06000,130.21000,33483542.00000
2012-01-30,17:30:00,130.20000,130.82000,130.18000,130.72000,20401680.00000
2012-01-30,18:30:00,130.73000,130.89000,130.63000,130.85000,16033850.00000
2012-01-30,19:30:00,130.85000,130.88000,130.61000,130.88000,10128522.00000
2012-01-30,20:30:00,130.88000,131.38000,130.84000,131.28000,16524606.00000
2012-01-30,21:30:00,131.29000,131.44000,131.09000,131.31000,14553038.00000
2012-01-30,22:00:00,131.31000,131.38000,131.02000,131.33000,17247024.00000
2012-01-31,16:30:00,131.33000,132.18000,131.17000,131.49000,38063944.00000
2012-01-31,17:30:00,131.49000,131.53000,130.71000,130.85000,22372250.00000
2012-01-31,18:30:00,130.85000,131.06000,130.68000,131.00000,15024600.00000
2012-01-31,19:30:00,131.00000,131.26000,130.97000,131.24000,9106659.00000
2012-01-31,20:30:00,131.25000,131.35000,130.88000,131.29000,16572851.00000
2012-01-31,21:30:00,131.28000,131.43000,131.10000,131.38000,16459237.00000
2012-01-31,22:00:00,131.38000,131.42000,131.16000,131.25000,19444247.00000
2012-02-01,16:30:00,131.25000,132.79000,131.25000,132.68000,31480311.00000
2012-02-01,17:30:00,132.68000,132.79000,132.54000,132.67000,16588109.00000
2012-02-01,18:30:00,132.68000,132.98000,132.61000,132.92000,16646127.00000
2012-02-01,19:30:00,132.91000,133.12000,132.83000,133.00000,16006184.00000
2012-02-01,20:30:00,133.00000,133.14000,132.76000,132.90000,15988984.00000
2012-02-01,21:30:00,132.91000,133.00000,132.64000,132.67000,22598617.00000
2012-02-01,22:00:00,132.67000,132.74000,132.33000,132.45000,24351369.00000
2012-02-02,16:30:00,132.45000,132.87000,132.37000,132.71000,24443865.00000
2012-02-02,17:30:00,132.71000,133.02000,132.69000,132.77000,15714164.00000
2012-02-02,18:30:00,132.76000,132.77000,132.34000,132.46000,15664463.00000
2012-02-02,19:30:00,132.47000,132.58000,132.21000,132.43000,10879638.00000
2012-02-02,20:30:00,132.42000,132.70000,132.40000,132.63000,7939371.00000
2012-02-02,21:30:00,132.64000,132.73000,132.52000,132.66000,12762758.00000
2012-02-02,22:00:00,132.67000,132.83000,132.59000,132.67000,12605462.00000
2012-02-03,16:30:00,132.67000,134.39000,132.67000,134.21000,32303326.00000
2012-02-03,17:30:00,134.21000,134.41000,134.14000,134.37000,16291081.00000
2012-02-03,18:30:00,134.38000,134.42000,134.21000,134.42000,11478990.00000
2012-02-03,19:30:00,134.42000,134.56000,134.33000,134.42000,15887852.00000
2012-02-03,20:30:00,134.41000,134.51000,134.31000,134.46000,11542629.00000
2012-02-03,21:30:00,134.46000,134.51000,134.32000,134.40000,13285292.00000
2012-02-03,22:00:00,134.40000,134.62000,134.29000,134.56000,23929792.00000
2012-02-06,16:30:00,134.56000,134.56000,133.83000,134.08000,25351948.00000
2012-02-06,17:30:00,134.08000,134.34000,133.94000,134.27000,14462902.00000
2012-02-06,18:30:00,134.27000,134.34000,134.16000,134.21000,11508808.00000
2012-02-06,19:30:00,134.21000,134.41000,134.18000,134.29000,8665653.00000
2012-02-06,20:30:00,134.28000,134.36000,134.11000,134.27000,11736976.00000
2012-02-06,21:30:00,134.27000,134.42000,134.23000,134.34000,9140156.00000
2012-02-06,22:00:00,134.34000,134.48000,134.31000,134.41000,8404679.00000
2012-02-07,16:30:00,134.45000,134.45000,133.64000,134.05000,30285035.00000
2012-02-07,17:30:00,134.04000,134.80000,134.03000,134.80000,23688702.00000
2012-02-07,18:30:00,134.80000,134.82000,134.62000,134.69000,14989934.00000
2012-02-07,19:30:00,134.70000,134.89000,134.61000,134.72000,11933131.00000
2012-02-07,20:30:00,134.74000,134.87000,134.65000,134.71000,10973235.00000
2012-02-07,21:30:00,134.70000,135.00000,134.55000,134.97000,13874096.00000
2012-02-07,22:00:00,134.97000,135.02000,134.76000,134.78000,17751296.00000
2012-02-08,16:30:00,134.86000,135.22000,134.77000,135.14000,23654414.00000
2012-02-08,17:30:00,135.14000,135.16000,134.36000,134.45000,27422749.00000
2012-02-08,18:30:00,134.45000,134.70000,134.31000,134.69000,18035850.00000
2012-02-08,19:30:00,134.68000,134.89000,134.61000,134.88000,12218548.00000
2012-02-08,20:30:00,134.88000,135.00000,134.44000,134.92000,11469430.00000
2012-02-08,21:30:00,134.92000,135.16000,134.90000,135.07000,15401569.00000
2012-02-08,22:00:00,135.08000,135.15000,134.99000,135.06000,9490847.00000
2012-02-09,16:30:00,135.13000,135.49000,134.61000,134.74000,39603729.00000
2012-02-09,17:30:00,134.74000,135.13000,134.56000,134.97000,27947660.00000
2012-02-09,18:30:00,134.97000,135.38000,134.83000,135.25000,16871134.00000
2012-02-09,19:30:00,135.25000,135.59000,135.21000,135.52000,16623498.00000
2012-02-09,20:30:00,135.52000,135.56000,135.37000,135.53000,11151763.00000
2012-02-09,21:30:00,135.52000,135.56000,135.30000,135.42000,9716859.00000
2012-02-09,22:00:00,135.42000,135.46000,135.25000,135.36000,8156461.00000
2012-02-10,16:30:00,134.16000,134.35000,133.84000,134.11000,40101029.00000
2012-02-10,17:30:00,134.10000,134.35000,133.99000,134.18000,20901616.00000
2012-02-10,18:30:00,134.18000,134.42000,134.13000,134.25000,10351340.00000
2012-02-10,19:30:00,134.24000,134.47000,134.23000,134.24000,9697529.00000
2012-02-10,20:30:00,134.23000,134.24000,133.96000,134.16000,13435649.00000
2012-02-10,21:30:00,134.16000,134.22000,133.87000,134.12000,17250443.00000
2012-02-10,22:00:00,134.12000,134.29000,134.04000,134.18000,16266929.00000
2012-02-13,16:30:00,134.38000,135.45000,134.38000,134.98000,26187054.00000
2012-02-13,17:30:00,134.98000,135.13000,134.74000,135.03000,20489901.00000
2012-02-13,18:30:00,135.04000,135.22000,135.01000,135.08000,8764331.00000
2012-02-13,19:30:00,135.08000,135.35000,134.96000,135.27000,11360390.00000
2012-02-13,20:30:00,135.27000,135.44000,135.24000,135.39000,7950253.00000
2012-02-13,21:30:00,135.40000,135.52000,135.33000,135.40000,11702174.00000
2012-02-13,22:00:00,135.39000,135.43000,135.22000,135.29000,10258900.00000
2012-02-14,16:30:00,135.34000,135.34000,134.62000,134.86000,30817647.00000
2012-02-14,17:30:00,134.87000,134.94000,134.58000,134.91000,19699703.00000
2012-02-14,18:30:00,134.91000,135.10000,134.82000,134.85000,16728735.00000
2012-02-14,19:30:00,134.86000,134.91000,134.50000,134.62000,12614637.00000
2012-02-14,20:30:00,134.61000,134.81000,134.39000,134.42000,14693799.00000
2012-02-14,21:30:00,134.41000,134.70000,134.25000,134.34000,18588537.00000
2012-02-14,22:00:00,134.32000,135.27000,134.26000,135.24000,31264961.00000
2012-02-15,16:30:00,135.24000,135.71000,135.23000,135.43000,33323598.00000
2012-02-15,17:30:00,135.43000,135.67000,135.33000,135.65000,23964526.00000
2012-02-15,18:30:00,135.64000,135.83000,135.56000,135.62000,14626740.00000
2012-02-15,19:30:00,135.62000,135.64000,134.70000,135.06000,31975730.00000
2012-02-15,20:30:00,135.06000,135.21000,134.58000,134.96000,25854254.00000
2012-02-15,21:30:00,134.97000,134.99000,134.29000,134.46000,27375087.00000
2012-02-15,22:00:00,134.46000,134.79000,134.37000,134.63000,14353918.00000
2012-02-16,16:30:00,134.56000,135.09000,134.34000,135.05000,37967237.00000
2012-02-16,17:30:00,135.06000,135.20000,134.87000,135.16000,21039309.00000
2012-02-16,18:30:00,135.15000,135.81000,135.07000,135.67000,30669102.00000
2012-02-16,19:30:00,135.67000,135.99000,135.59000,135.89000,15303139.00000
2012-02-16,20:30:00,135.89000,136.10000,135.88000,135.97000,13138200.00000
2012-02-16,21:30:00,135.98000,136.12000,135.85000,135.99000,15625000.00000
2012-02-16,22:00:00,135.99000,136.17000,135.93000,136.04000,15362747.00000
2012-02-17,16:30:00,136.05000,136.57000,136.05000,136.29000,34327501.00000
2012-02-17,17:30:00,136.28000,136.35000,135.96000,136.09000,20799670.00000
2012-02-17,18:30:00,136.09000,136.22000,136.05000,136.12000,8798822.00000
2012-02-17,19:30:00,136.12000,136.29000,136.10000,136.26000,7426862.00000
2012-02-17,20:30:00,136.25000,136.34000,136.25000,136.34000,6747976.00000
2012-02-17,21:30:00,136.34000,136.54000,136.31000,136.51000,13033554.00000
2012-02-17,22:00:00,136.52000,136.54000,136.33000,136.38000,19356896.00000
2012-02-21,16:30:00,136.38000,136.82000,136.35000,136.60000,29799644.00000
2012-02-21,17:30:00,136.60000,136.97000,136.59000,136.93000,14685482.00000
2012-02-21,18:30:00,136.93000,137.05000,136.78000,136.88000,12232900.00000
2012-02-21,19:30:00,136.89000,136.92000,136.78000,136.90000,10672539.00000
2012-02-21,20:30:00,136.90000,136.93000,136.41000,136.49000,12378685.00000
2012-02-21,21:30:00,136.49000,136.50000,136.05000,136.19000,17790946.00000
2012-02-21,22:00:00,136.19000,136.48000,136.06000,136.46000,18769408.00000
2012-02-22,16:30:00,136.46000,136.55000,136.07000,136.30000,34892760.00000
2012-02-22,17:30:00,136.31000,136.46000,136.10000,136.20000,19069609.00000
2012-02-22,18:30:00,136.20000,136.26000,135.79000,135.99000,16161485.00000
2012-02-22,19:30:00,135.98000,136.32000,135.92000,136.26000,8836525.00000
2012-02-22,20:30:00,136.27000,136.37000,136.16000,136.30000,8089915.00000
2012-02-22,21:30:00,136.29000,136.30000,136.00000,136.11000,10978992.00000
2012-02-22,22:00:00,136.11000,136.29000,135.92000,136.02000,15706641.00000
2012-02-23,16:30:00,136.02000,136.03000,135.50000,135.94000,31107560.00000
2012-02-23,17:30:00,135.95000,136.51000,135.91000,136.43000,31416567.00000
2012-02-23,18:30:00,136.44000,136.50000,136.33000,136.46000,9792030.00000
2012-02-23,19:30:00,136.46000,136.55000,136.25000,136.31000,11794790.00000
2012-02-23,20:30:00,136.32000,136.43000,136.20000,136.42000,12349958.00000
2012-02-23,21:30:00,136.42000,136.66000,136.33000,136.62000,16012277.00000
2012-02-23,22:00:00,136.62000,136.73000,136.56000,136.63000,16141210.00000
2012-02-24,16:30:00,136.63000,137.09000,136.63000,136.85000,25729819.00000
2012-02-24,17:30:00,136.84000,137.07000,136.77000,137.05000,14832574.00000
2012-02-24,18:30:00,137.06000,137.17000,137.01000,137.14000,9274918.00000
2012-02-24,19:30:00,137.13000,137.20000,137.03000,137.03000,10205422.00000
2012-02-24,20:30:00,137.04000,137.07000,136.81000,136.82000,10377320.00000
2012-02-24,21:30:00,136.81000,136.85000,136.63000,136.79000,12855377.00000
2012-02-24,22:00:00,136.78000,136.90000,136.69000,136.87000,15800394.00000
2012-02-27,16:30:00,136.16000,136.46000,136.15000,136.42000,13135792.00000
2012-02-27,17:30:00,136.42000,137.26000,136.35000,137.10000,27347157.00000
2012-02-27,18:30:00,137.10000,137.24000,136.97000,137.07000,18261172.00000
2012-02-27,19:30:00,137.07000,137.46000,137.01000,137.15000,9445946.00000
2012-02-27,20:30:00,137.16000,137.28000,137.08000,137.17000,7047016.00000
2012-02-27,21:30:00,137.18000,137.53000,137.13000,137.25000,16602942.00000
2012-02-27,22:00:00,137.25000,137.38000,137.09000,137.12000,17472983.00000
2012-02-28,16:30:00,137.12000,137.72000,136.93000,137.28000,35483068.00000
2012-02-28,17:30:00,137.29000,137.66000,137.29000,137.56000,21828447.00000
2012-02-28,18:30:00,137.56000,137.63000,137.42000,137.46000,10285946.00000
2012-02-28,19:30:00,137.47000,137.60000,137.43000,137.51000,6116375.00000
2012-02-28,20:30:00,137.51000,137.51000,137.09000,137.12000,17964488.00000
2012-02-28,21:30:00,137.11000,137.53000,137.09000,137.51000,12101021.00000
2012-02-28,22:00:00,137.51000,137.66000,137.43000,137.56000,13415574.00000
2012-02-29,16:30:00,137.56000,138.19000,137.56000,137.81000,33119298.00000
2012-02-29,17:30:00,137.81000,137.81000,136.85000,136.85000,37565635.00000
2012-02-29,18:30:00,136.85000,137.52000,136.79000,137.49000,22221311.00000
2012-02-29,19:30:00,137.50000,137.52000,137.24000,137.34000,12734618.00000
2012-02-29,20:30:00,137.34000,137.69000,137.27000,137.51000,12725842.00000
2012-02-29,21:30:00,137.51000,137.53000,137.05000,137.13000,17224823.00000
2012-02-29,22:00:00,137.12000,137.14000,136.72000,136.93000,26758603.00000
2012-03-01,16:30:00,136.93000,137.82000,136.93000,137.59000,37273327.00000
2012-03-01,17:30:00,137.58000,137.61000,137.23000,137.55000,21377423.00000
2012-03-01,18:30:00,137.56000,137.86000,137.47000,137.74000,11344927.00000
2012-03-01,19:30:00,137.74000,137.96000,137.68000,137.95000,11813185.00000
2012-03-01,20:30:00,137.95000,137.99000,137.73000,137.77000,8951124.00000
2012-03-01,21:30:00,137.78000,137.85000,137.30000,137.58000,17733933.00000
2012-03-01,22:00:00,137.58000,137.87000,137.27000,137.73000,22108778.00000
2012-03-02,16:30:00,137.73000,137.82000,137.40000,137.75000,18099640.00000
2012-03-02,17:30:00,137.75000,137.77000,137.40000,137.55000,15253394.00000
2012-03-02,18:30:00,137.54000,137.60000,137.13000,137.25000,18765426.00000
2012-03-02,19:30:00,137.25000,137.39000,137.00000,137.11000,13327450.00000
2012-03-02,20:30:00,137.11000,137.39000,137.10000,137.28000,9425821.00000
2012-03-02,21:30:00,137.27000,137.47000,137.23000,137.46000,11858011.00000
2012-03-02,22:00:00,137.47000,137.59000,137.25000,137.31000,17815286.00000
2012-03-05,16:30:00,137.31000,137.31000,136.43000,136.51000,31698460.00000
2012-03-05,17:30:00,136.52000,136.75000,136.28000,136.54000,21932853.00000
